"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YNL263C","YIF1",0.417069559157511,-0.549455297409085,-0.966524856566596,2.35296334016045,0.0101364109053568,0.0170552334583837,6.95720873542297
"YHR004C","NEM1",0.433457405064095,0.522691271288796,0.089233866224701,3.02563311752521,0.0101666031573262,0.0171003679473012,6.95038805926688
"YKL184W","SPE1",0.853024815447737,-0.237468878441358,-1.09049369388909,1.78454590162988,0.0102103552965031,0.0171682729124645,6.94210928609515
"YNL084C","END3",-0.9610098609709,-0.0700820244103988,0.890927836560501,3.8859211263578,0.0103849223291938,0.0174560197244774,6.90398848269024
"YNL083W","SAL1",0.644249406647181,0.433130361799535,-0.211119044847646,2.45431017032972,0.0104333771898636,0.0175316642521931,6.89422142258141
"YBR011C","IPP1",-0.412084292234849,-0.761959180529214,-0.349874888294365,5.95980291950189,0.0104424086151738,0.0175410357088497,6.89188498256551
"YOR223W","DSC3",0.532968946730769,1.02373668073908,0.490767734008316,2.07811264280048,0.0104594386483522,0.0175638324921734,6.88915510985761
"YPR187W","RPO26",-0.304605086013906,-0.701399826392963,-0.396794740379058,2.90643287071537,0.0104770461506608,0.017587583587787,6.88497297862873
"YPR049C","ATG11",0.541623339120466,0.435044024642122,-0.106579314478344,3.82235183560446,0.0105670191458206,0.017732757178611,6.86628298234718
"YNL075W","IMP4",0.339912783109428,-0.366990476750037,-0.706903259859465,1.83279468135787,0.0106188852031427,0.0178139078498707,6.85654713331131
"YDL033C","SLM3",1.03703637453754,0.332749191709797,-0.704287182827742,1.25945537023885,0.0106446245018447,0.0178511899670963,6.85296245274216
"YJR008W","MHO1",0.616855903471346,0.350464086566953,-0.266391816904393,3.19654047016314,0.0106578750407983,0.017867510550404,6.8478365851395
"YER016W","BIM1",-0.485573875981023,-0.696098446802427,-0.210524570821404,2.11064710170144,0.0106808354705496,0.0179000932407428,6.84359455350397
"YNR063W","PUL4",0.91478904025686,0.582427870162035,-0.332361170094826,1.45485431472527,0.0106915629471766,0.0179121598963256,6.84256356886684
"YBR270C","BIT2",0.601252458666715,0.479600267476857,-0.121652191189857,1.89518919319383,0.0107019578637451,0.0179222596124725,6.83957910855344
"YBR007C","DSF2",0.364413313855824,1.01876448337839,0.654351169522569,3.43645737901874,0.0107046501387612,0.0179222596124725,6.83832599301105
"YML106W","URA5",-0.281593983652922,-0.836026090425918,-0.554432106772996,3.45473958123106,0.0107225739999556,0.0179463516057265,6.83468710740017
"YPR031W","NTO1",0.671413899667623,0.23426615892849,-0.437147740739133,2.28676939457639,0.0107647279452575,0.018010968206266,6.82662134794728
"YPL050C","MNN9",-0.00477743583527519,-0.537669167186122,-0.532891731350847,3.22476552307884,0.0107833017977655,0.0180361022822968,6.8225384718553
"YLR207W","HRD3",0.383936656765556,1.03845514345641,0.65451848669085,3.76647104748391,0.0107927915008033,0.0180460307017053,6.82054258660303
"YOR086C","TCB1",-0.0450851165087707,0.410288138528614,0.455373255037384,5.9230704406903,0.0107964259455729,0.0180461655535284,6.81969576582558
"YGR158C","MTR3",0.616939589765601,-0.453981399165548,-1.07092098893115,1.44953258281355,0.0108270531956635,0.0180914037932146,6.81551604170255
"YMR182C","RGM1",-0.114827108821088,0.715160397850664,0.829987506671752,2.08947494339125,0.0108350161804887,0.0180987540014873,6.81270998081619
"YNL261W","ORC5",0.641888488946453,-0.339739111682562,-0.981627600629015,1.8326967359081,0.0109356521658168,0.0182608489635046,6.79317972840976
