SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YBR141C	16	19	14	28	18	14	19	11	23
YBR142W	104	64	61	135	138	46	65	76	69
YBR143C	169	94	106	458	260	211	210	240	251
YBR144C	1	1	2	4	2	0	1	2	4
YBR145W	93	72	83	153	189	99	189	216	168
YBR146W	202	115	152	360	283	124	144	149	151
YBR147W	232	165	247	234	196	114	193	246	216
YBR148W	321	236	251	76	127	13	76	104	129
YBR149W	475	343	363	638	481	407	513	600	544
YBR150C	130	84	103	123	156	63	155	203	174
YBR151W	321	204	235	316	249	166	293	349	275
YBR152W	51	31	35	24	38	11	11	15	28
YBR153W	25	17	12	49	52	23	32	49	35
YBR154C	76	55	35	118	96	37	29	38	52
YBR155W	87	62	57	91	131	29	36	49	63
YBR156C	71	39	45	44	56	15	21	30	36
YBR157C	28	22	20	8	24	4	23	22	25
YBR158W	82	67	70	104	99	46	21	17	9
YBR159W	115	98	107	391	302	202	179	205	210
YBR160W	37	33	16	59	59	26	27	35	33
YBR161W	92	61	67	144	95	57	76	107	88
YBR162C	391	279	291	764	382	514	111	80	88
YBR162W-A	292	205	193	172	249	54	50	71	89
YBR163W	67	41	36	133	92	67	99	139	139
YBR164C	80	50	64	137	142	50	52	61	58
YBR165W	47	40	49	104	77	44	39	42	60
YBR166C	55	49	39	148	96	71	71	99	89
YBR167C	19	25	31	44	43	5	21	48	45
YBR168W	23	19	19	55	50	22	65	56	54
YBR169C	2008	1590	1811	511	653	256	643	734	704
YBR170C	72	39	37	203	113	107	128	139	144
YBR171W	46	30	50	59	61	25	22	36	38
YBR172C	255	169	180	189	304	61	86	102	121
YBR173C	384	283	333	427	352	178	129	134	141
YBR175W	21	20	19	58	60	28	33	40	31
YBR176W	40	22	38	84	93	55	42	64	60
YBR177C	356	320	345	204	237	135	247	271	248
YBR179C	283	206	212	286	275	69	253	268	261
YBR180W	41	18	21	9	17	8	6	8	14
YBR181C	819	474	484	2368	1357	1248	560	733	758
YBR182C	44	31	30	156	117	135	103	119	92
YBR182C-A	4	2	1	3	6	3	12	10	9
YBR183W	266	188	253	143	167	98	298	336	326
YBR184W	12	11	13	12	18	5	3	4	6
YBR185C	142	93	81	237	167	128	60	64	81
YBR186W	26	17	28	37	87	26	58	64	66
YBR187W	51	37	44	117	77	60	71	83	75
YBR188C	49	24	25	56	80	12	34	38	42
YBR189W	630	353	339	1032	751	512	231	297	266
YBR191W	417	284	251	890	552	461	291	323	316
YBR192W	39	42	32	110	88	53	58	92	80
YBR193C	43	26	26	66	70	31	34	61	53
YBR194W	15	8	22	16	27	11	13	12	11
YBR195C	26	23	16	53	44	33	49	65	55
YBR196C	914	576	611	1123	910	732	2364	2637	2331
YBR196C-A	4	5	3	5	6	3	7	4	7
YBR196C-B	3	3	2	4	3	3	7	9	4
YBR197C	8	4	3	14	10	13	11	26	21
